courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_323.0,score_324.0,score_329.0,score_330.0,score_333.0,score_334.0,score_335.0,score_352.0,score_362.0,score_363.0,score_364.0,score_365.0,score_366.0
14,8892,True,False,1.0000033080424886,0.9583333333333334,329.50109,N/A,N/A,10,5,32,40.0,0.00109,20,42.5,5,10,80,25,30,30.0
14,8887,True,False,0.893782215477997,0.9166666666666666,294.50124,N/A,N/A,10,0,32,30.0,0.00124,23,42.5,7,0,90,25,5,30.0
14,8873,True,False,0.76783344461305,0.875,253.00112,N/A,N/A,10,0,36,40.0,0.0011200000000000001,27,37.5,10,0,60,25,0,7.5
14,8890,True,False,0.7587253414264037,0.8333333333333334,250.0,N/A,N/A,10,0,32,45.0,0.0,28,25.0,10,10,50,25,0,15.0
14,8889,True,False,0.7556936874051593,0.7916666666666666,249.00107,N/A,N/A,10,0,28,30.0,0.00107,19,37.5,2,10,70,35,0,7.5
14,8893,False,False,0.7359635811836115,0.75,242.5,N/A,N/A,10,0,32,25.0,0.0,23,32.5,5,10,50,25,0,30.0
14,8878,False,False,0.7268588770864947,0.7083333333333334,239.5,N/A,N/A,10,0,34,40.0,0.0,18,25.0,0,10,70,25,0,7.5
14,8883,UNKNOWN,True,0.723823975720789,0.6666666666666666,238.5,N/A,N/A,10,5,28,40.0,0.0,18,47.5,5,10,70,0,5,0.0
14,8882,False,False,0.7116843702579666,0.625,234.5,N/A,N/A,10,5,28,27.5,0.0,3,30.0,1,10,65,25,0,30.0
14,8874,False,False,0.708649468892261,0.5833333333333334,233.5,N/A,N/A,10,5,20,35.0,0.0,28,32.5,3,0,70,0,0,30.0
14,8891,False,False,0.701062215477997,0.5416666666666666,231.0,N/A,N/A,10,0,20,35.0,0.0,19,45.0,2,0,70,0,0,30.0
14,8871,False,False,0.6525037936267072,0.5,215.0,N/A,N/A,10,5,32,50.0,0.0,13,35.0,0,0,70,0,0,0.0
14,8888,False,False,0.6464339908952959,0.4583333333333333,213.0,N/A,N/A,10,0,26,32.5,0.0,20,40.0,2,0,50,25,0,7.5
14,8881,False,False,0.6358118361153262,0.4166666666666667,209.5,N/A,N/A,10,0,24,30.0,0.0,30,25.0,3,0,80,0,0,7.5
14,8875,False,False,0.6327769347496206,0.375,208.5,N/A,N/A,10,0,32,30.0,0.0,24,42.5,0,0,70,0,0,0.0
14,8885,UNKNOWN,True,0.6145675265553869,0.3333333333333333,202.5,N/A,N/A,10,0,20,45.0,0.0,18,27.5,7,0,75,0,0,0.0
14,8884,False,False,0.5948406676783005,0.2916666666666667,196.0,N/A,N/A,10,0,26,33.0,0.0,19,30.0,8,0,70,0,0,0.0
14,8876,False,False,0.5933262518968133,0.25,195.501,N/A,N/A,10,0,26,37.5,0.001,15,32.5,2,0,65,0,0,7.5
14,8880,UNKNOWN,True,0.5887740212443096,0.20833333333333334,194.00104,N/A,N/A,10,0,26,30.0,0.0010400000000000001,16,35.0,7,0,70,0,0,0.0
14,8879,False,False,0.5827031562974203,0.16666666666666666,192.00069,N/A,N/A,10,3,16,40.0,0.0006900000000000001,18,30.0,0,0,60,0,0,15.0
14,8872,False,False,0.5644916540212443,0.125,186.0,N/A,N/A,10,5,28,20.0,0.0,13,35.0,0,0,60,0,0,15.0
14,8894,False,False,0.5265574810318664,0.08333333333333333,173.50069,N/A,N/A,10,4,20,30.0,0.0006900000000000001,16,32.5,1,0,60,0,0,0.0
14,8877,False,False,0.5250409711684371,0.041666666666666664,173.001,N/A,N/A,10,5,16,27.5,0.001,17,32.5,0,0,65,0,0,0.0
14,8886,False,False,0.49924446130500755,0.0,164.50105,N/A,N/A,10,4,18,35.0,0.0010500000000000002,15,32.5,0,0,50,0,0,0.0
