courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_280.0,score_282.0,score_284.0,score_285.0,score_286.0,score_287.0,score_288.0,score_289.0,score_290.0,score_292.0,score_296.0,score_297.0,score_298.0
12,5680,True,False,1.0,0.9523809523809523,683.0,N/A,N/A,10,70.0,30.0,64,72,90,110,113,0,50,18,51.0,5
12,5682,UNKNOWN,True,0.9497803806734993,0.9047619047619048,648.7,N/A,N/A,10,73.5,30.0,64,56,90,115,100,0,90,13,7.199999999999999,0
12,5683,True,False,0.9232796486090776,0.8571428571428571,630.6,N/A,N/A,10,42.0,27.0,64,56,95,100,106,0,80,20,30.599999999999998,0
12,5681,True,False,0.8907759882869692,0.8095238095238095,608.4,N/A,N/A,10,73.5,34.5,68,64,80,60,130,0,50,10,8.4,20
12,5700,True,False,0.7213762811127379,0.7619047619047619,492.7,N/A,N/A,10,45.5,30.0,56,56,75,80,79,0,20,18,13.2,10
12,5685,UNKNOWN,True,0.7177159590043923,0.7142857142857143,490.2,N/A,N/A,10,66.5,31.5,0,48,80,60,100,0,60,12,22.2,0
12,5687,False,False,0.6774524158125915,0.6666666666666666,462.7,N/A,N/A,10,49.0,28.5,0,68,0,115,100,0,50,15,22.2,5
12,5684,False,False,0.6682284040995607,0.6190476190476191,456.4,N/A,N/A,10,56.0,30.0,0,56,0,90,99,0,80,12,23.4,0
12,5686,False,False,0.651683748169839,0.5714285714285714,445.1,N/A,N/A,10,38.5,30.0,0,72,0,95,100,0,50,22,27.599999999999998,0
12,5689,False,False,0.615519765739385,0.5238095238095238,420.4,N/A,N/A,10,42.0,30.0,0,64,0,0,99,75,80,9,11.4,0
12,5698,UNKNOWN,True,0.6039531478770132,0.47619047619047616,412.5,N/A,N/A,10,59.49999999999999,30.0,0,64,110,0,107,0,0,11,21.0,0
12,5694,False,False,0.5756954612005857,0.42857142857142855,393.2,N/A,N/A,10,49.0,27.0,0,56,0,80,91,0,30,14,34.199999999999996,2
12,5692,False,False,0.5653001464128844,0.38095238095238093,386.1,N/A,N/A,10,56.0,31.5,0,48,0,0,100,70,30,10,30.599999999999998,0
12,5691,False,False,0.56398243045388,0.3333333333333333,385.2,N/A,N/A,10,62.99999999999999,30.0,0,52,0,65,86,0,50,7,22.2,0
12,5699,False,False,0.5582723279648608,0.2857142857142857,381.29999999999995,N/A,N/A,10,59.49999999999999,30.0,0,44,0,95,97,0,30,5,10.799999999999999,0
12,5688,False,False,0.5071742313323572,0.23809523809523808,346.4,N/A,N/A,10,59.49999999999999,28.5,0,64,0,0,100,0,50,10,17.4,7
12,5690,False,False,0.48433382137628106,0.19047619047619047,330.79999999999995,N/A,N/A,10,62.99999999999999,27.0,0,44,0,0,94,0,50,12,25.8,5
12,5693,False,False,0.4610541727672035,0.14285714285714285,314.9,N/A,N/A,10,80.5,30.0,0,56,0,0,77,0,30,14,17.4,0
12,5695,False,False,0.44831625183016105,0.09523809523809523,306.2,N/A,N/A,8,45.5,28.5,0,60,0,0,80,0,50,12,22.2,0
12,5696,False,False,0.44743777452415817,0.047619047619047616,305.6,N/A,N/A,10,45.5,25.5,0,56,0,0,100,0,30,8,30.599999999999998,0
12,5697,False,False,0.44612005856515374,0.0,304.7,N/A,N/A,10,52.5,30.0,0,56,0,0,85,0,30,7,34.199999999999996,0
