courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_505.0,score_517.0,score_N/A
29,14865,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14677,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14958,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15470,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15108,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15629,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14735,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14901,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14732,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14898,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14762,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14587,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14698,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14830,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,https://github.com/rolling-scopes-school/f770a8ff-d2d5-5353-a6dc-ce625adf38e4-REACT2020Q3,240,24,0
29,14730,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14834,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14838,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14905,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15572,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14574,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14746,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15563,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15432,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15605,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14781,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15043,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15015,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14916,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14754,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14794,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14752,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14797,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14912,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14722,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14747,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14618,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14576,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,14761,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15193,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,https://github.com/rolling-scopes-school/7448bf04-10cb-5749-aa96-68f98aebd5c3-REACT2020Q3,240,24,0
29,15179,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
29,15532,UNKNOWN,True,1.0,0.9319196428571429,264.0,N/A,N/A,240,24,0
