courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_138.0,score_139.0,score_140.0,score_141.0,score_142.0,score_143.0,score_144.0,score_145.0,score_146.0,score_148.0,score_149.0,score_150.0,score_151.0,score_152.0,score_153.0,score_154.0,score_164.0,score_N/A
5,3387,True,False,0.9999968240440884,0.9777777777777777,3520.18882,320.0,N/A,2376,95,57,20,70,1.18882,97,68,139,30,80,70,90,101,40,85,101,0
5,3402,True,False,0.7986612195329811,0.9555555555555556,2811.447225,320.0,N/A,1516,96,93,70,80,0.447225,94,97,109,0,100,80,100,86,100,90,100,0
5,3392,True,False,0.7446803903187319,0.9333333333333333,2621.42391,320.0,N/A,1311,83,81,70,70,0.42390999999999995,98,81,175,20,80,85,90,121,38,100,118,0
5,3394,True,False,0.6900176126356458,0.9111111111111111,2429.0,320.0,N/A,1371,78,65,0,60,0.0,88,96,97,0,100,80,90,105,60,45,94,0
5,3411,True,False,0.6261007897278564,0.8888888888888888,2204.0,320.0,N/A,1271,70,64,0,70,0.0,89,53,90,0,70,90,90,100,0,70,77,0
5,3405,True,False,0.5614296843929323,0.8666666666666667,1976.344775,320.0,N/A,756,0,78,100,70,0.344775,92,98,160,0,100,90,0,115,110,90,117,0
5,3386,True,False,0.5481604641781718,0.8444444444444444,1929.634466,320.0,N/A,771,91,60,50,80,0.634466,87,72,103,0,90,70,90,113,65,100,87,0
5,3403,True,False,0.5472421228907448,0.8222222222222222,1926.401721,320.0,N/A,1000,74,48,70,70,0.401721,87,82,102,0,14,90,0,99,50,50,90,0
5,3398,True,False,0.5470057746718937,0.8,1925.569728,320.0,N/A,1032,91,12,60,50,0.569728,93,99,119,20,70,120,0,0,5,50,104,0
5,3390,True,False,0.5239230955627522,0.7777777777777778,1844.314081,320.0,N/A,683,61,45,100,80,0.314081,85,95,115,0,56,70,80,86,90,100,98,0
5,3385,False,False,0.5195727515482075,0.7555555555555555,1829.0,320.0,N/A,940,52,69,0,0,0.0,94,80,91,0,70,90,90,65,30,70,88,0
5,3413,False,False,0.5164479290949379,0.7333333333333333,1818.0,320.0,N/A,886,43,0,0,60,0.0,90,75,136,0,100,80,95,63,20,70,100,0
5,3395,False,False,0.44013709249474464,0.7111111111111111,1549.370593,320.0,N/A,377,82,81,80,100,0.370593,92,98,87,0,70,80,90,80,60,80,92,0
5,3388,False,False,0.43962588006363273,0.6888888888888889,1547.571023,320.0,N/A,505,78,75,60,80,0.571023,81,84,88,0,63,75,90,79,30,75,84,0
5,3397,False,False,0.39888221862394185,0.6666666666666666,1404.145186,320.0,N/A,160,95,49,100,80,0.14518599999999998,96,94,125,0,70,95,80,120,45,90,105,0
5,3389,False,False,0.37280241349923304,0.6444444444444445,1312.339056,320.0,N/A,43,61,54,100,70,0.33905599999999997,98,87,131,65,63,75,90,120,70,80,105,0
5,3421,False,False,0.35111641384012277,0.6222222222222222,1236.0,320.0,N/A,711,78,0,0,0,0.0,90,89,156,0,0,0,0,0,0,0,112,0
5,3419,False,False,0.3373483339014829,0.6,1187.533605,320.0,N/A,506,61,15,60,60,0.533605,98,95,94,0,70,30,0,0,2,0,96,0
5,3417,False,False,0.3370564939492074,0.5777777777777777,1186.5062699999999,320.0,N/A,575,39,15,60,60,0.50627,96,70,94,0,70,30,0,0,-10,0,87,0
5,3420,False,False,0.3060987293335606,0.5555555555555556,1077.5287469999998,320.0,N/A,470,43,15,60,60,0.528747,80,76,91,0,70,30,0,0,0,0,82,0
5,3412,False,False,0.303255629509687,0.5333333333333333,1067.520467,320.0,N/A,182,78,82,60,70,0.520467,99,55,86,20,70,60,0,85,0,40,80,0
5,3406,False,False,0.29441910658485315,0.5111111111111111,1036.414139,320.0,N/A,225,70,29,70,60,0.414139,76,81,78,0,63,90,0,66,10,40,78,0
5,3415,False,False,0.2627313536162718,0.4888888888888889,924.8669110000001,320.0,N/A,251,91,78,30,70,0.866911,89,39,0,0,70,35,50,78,0,0,43,0
5,3416,False,False,0.2263697832509517,0.4666666666666667,796.8669110000001,320.0,N/A,364,78,0,30,70,0.866911,89,23,0,0,70,35,0,0,0,0,37,0
5,3401,False,False,0.21528143088460885,0.4444444444444444,757.833693,320.0,N/A,194,57,12,30,0,0.833693,88,99,119,0,56,0,0,0,0,0,102,0
5,3422,False,False,0.14601443099823874,0.4222222222222222,514.0,N/A,N/A,364,0,50,0,0,0.0,0,0,0,0,100,0,0,0,0,0,0,0
5,3408,False,False,0.14394565734901427,0.4,506.71750299999997,320.0,N/A,123,74,0,40,50,0.717503,89,23,0,0,70,0,0,0,0,0,37,0
5,3391,False,False,0.1416138935287768,0.37777777777777777,498.509228,320.0,N/A,49,57,15,60,0,0.509228,91,45,94,10,0,0,0,0,0,0,77,0
5,3400,False,False,0.11534575279813648,0.35555555555555557,406.040119,320.0,N/A,152,0,0,20,0,1.040119,65,45,65,0,0,0,0,0,0,0,58,0
5,3423,False,False,0.0986925882052156,0.3333333333333333,347.417649,320.0,N/A,4,0,0,70,0,0.417649,90,36,79,0,0,0,0,0,0,0,68,0
5,3424,False,False,0.08262795040054544,0.3111111111111111,290.866911,320.0,N/A,19,74,0,30,0,0.866911,89,36,0,0,0,0,0,0,0,0,42,0
5,3425,False,False,0.06675757059257997,0.28888888888888886,235.0,320.0,N/A,4,70,0,0,0,0.0,91,30,0,0,0,0,0,0,0,0,40,0
5,3426,False,False,0.05890417106982558,0.26666666666666666,207.354463,320.0,N/A,60,57,0,90,0,0.354463,0,0,0,0,0,0,0,0,0,0,0,0
5,3427,False,False,0.05738310323277087,0.24444444444444444,202.0,320.0,N/A,21,30,0,0,0,0.0,93,20,0,0,0,0,0,0,0,0,38,0
5,3407,False,False,0.03636157036532015,0.2222222222222222,128.0,320.0,N/A,0,0,0,0,0,0.0,76,20,0,0,0,0,0,0,0,0,32,0
5,3429,False,False,0.0014203738423953186,0.2,5.0,320.0,N/A,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3418,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3414,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3410,False,False,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3409,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3404,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3399,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3396,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3393,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,3428,UNKNOWN,True,0.0,0.0,0.0,320.0,N/A,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
