courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_18.0,score_19.0,score_20.0,score_21.0,score_23.0,score_24.0,score_25.0,score_26.0,score_27.0,score_28.0,score_29.0,score_30.0,score_31.0,score_32.0,score_33.0,score_N/A
2,1028,True,False,1.0,0.999244142101285,1623.0,243.0,N/A,100,120,93,52,140,100,120,130,130,84,90,205,90,53,116,0
2,627,True,False,0.9716574245224893,0.99848828420257,1577.0,207.0,N/A,100,110,95,80,130,75,120,120,60,84,85,260,80,50,128,0
2,883,True,False,0.9309919901417129,0.9977324263038548,1511.0,207.0,N/A,100,108,100,100,130,0,120,130,130,63,80,260,70,0,120,0
2,635,True,False,0.9248305606900801,0.9969765684051398,1501.0,169.0,N/A,100,100,90,90,140,0,100,100,130,66,85,260,70,50,120,0
2,694,True,False,0.922365988909427,0.9962207105064248,1497.0,296.0,N/A,100,120,90,100,110,50,120,95,110,61,85,235,50,55,116,0
2,939,True,False,0.9008009858287123,0.9954648526077098,1462.0,221.0,N/A,100,90,100,95,120,0,120,130,140,78,60,260,50,0,119,0
2,992,True,False,0.8946395563770795,0.9947089947089947,1452.0,237.0,N/A,100,110,100,95,140,25,120,130,70,70,80,225,70,0,117,0
2,923,True,False,0.893407270486753,0.9939531368102796,1450.0,298.0,N/A,101,110,100,100,135,0,120,130,105,69,80,230,50,0,120,0
2,804,True,False,0.8927911275415896,0.9931972789115646,1449.0,271.0,N/A,100,100,100,94,100,0,120,95,130,80,85,195,80,50,120,0
2,828,True,False,0.88909426987061,0.9924414210128496,1443.0,283.0,N/A,100,100,100,100,135,0,120,65,130,82,90,165,80,46,130,0
2,769,True,False,0.884781269254467,0.9916855631141346,1436.0,172.0,N/A,103,115,100,95,140,25,120,100,65,86,75,200,60,46,106,0
2,679,True,False,0.8736906962415281,0.9909297052154195,1418.0,176.0,N/A,100,110,100,100,130,0,120,110,0,80,80,235,80,43,130,0
2,600,True,False,0.8675292667898953,0.9901738473167044,1408.0,264.0,N/A,100,100,100,70,130,75,120,120,130,43,75,185,40,0,120,0
2,846,True,False,0.8644485520640789,0.9894179894179894,1403.0,195.0,N/A,100,110,100,99,130,0,120,110,140,64,70,155,30,55,120,0
2,704,True,False,0.8607516943930992,0.9871504157218443,1397.0,269.0,N/A,100,110,100,85,120,0,120,130,115,67,80,200,50,0,120,0
2,879,True,False,0.8607516943930992,0.9871504157218443,1397.0,293.0,N/A,100,120,100,90,100,25,120,100,115,76,70,140,80,45,116,0
2,835,True,False,0.8607516943930992,0.9871504157218443,1397.0,179.0,N/A,100,115,90,85,115,0,120,130,95,52,70,220,40,35,130,0
2,1027,True,False,0.8582871226124461,0.9863945578231292,1393.0,304.0,N/A,100,100,95,84,125,0,120,110,110,57,75,200,50,50,117,0
2,882,True,False,0.8576709796672828,0.9856386999244142,1392.0,165.0,N/A,100,110,100,100,120,50,115,85,85,50,100,152,50,55,120,0
2,997,True,False,0.8558225508317929,0.9848828420256992,1389.0,297.0,N/A,100,105,100,100,110,25,120,100,130,69,60,180,70,0,120,0
2,949,True,False,0.8527418361059765,0.9841269841269841,1384.0,227.0,N/A,100,110,100,100,115,25,120,69,130,76,80,189,50,0,120,0
2,893,True,False,0.8490449784349969,0.983371126228269,1378.0,294.0,N/A,100,120,98,95,110,0,120,128,0,84,90,225,70,48,90,0
2,620,True,False,0.8428835489833642,0.982615268329554,1368.0,199.0,N/A,100,85,95,85,120,0,110,80,70,81,90,205,80,51,116,0
2,922,True,False,0.8422674060382008,0.981859410430839,1367.0,195.0,N/A,100,120,99,99,120,0,120,100,0,76,95,195,70,53,120,0
