courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_384.0,score_406.0,score_412.0,score_413.0,score_429.0,score_434.0,score_435.0,score_447.0,score_465.0,score_489.0,score_N/A
18,13136,True,False,1.0,0.9968454258675079,752.0,1312.0,https://github.com/rolling-scopes-school/4d785184-b73a-5937-bac6-fabc0e7e896c-IOS2020,20,80.0,75,100,70.0,84,80.0,100,77,66,0
18,12986,True,False,0.9773936170212766,0.9936908517350158,735.0,1307.0,https://github.com/rolling-scopes-school/ac5f61d0-0d6b-51b9-bfd6-9465312e1462-IOS2020,20,80.0,75,100,70.0,81,80.0,100,48,81,0
18,12783,True,False,0.9468085106382979,0.9905362776025236,712.0,1311.0,https://github.com/rolling-scopes-school/b13a34a5-7680-5bbc-be01-884ff513e14c-IOS2020,20,80.0,58,100,70.0,57,80.0,100,75,72,0
18,13101,True,False,0.9428191489361702,0.9873817034700315,709.0,1313.0,https://github.com/rolling-scopes-school/0586f759-4c52-5a69-9167-db23413bf430-IOS2020,20,80.0,49,100,70.0,59,80.0,100,70,81,0
18,12703,True,False,0.9401595744680851,0.9842271293375394,707.0,1317.0,https://github.com/rolling-scopes-school/5c5cb2e8-006e-5862-82e9-26b0e001b65f-IOS2020,20,80.0,45,100,70.0,62,80.0,100,61,89,0
18,13176,True,False,0.9375,0.9810725552050473,705.0,1316.0,https://github.com/rolling-scopes-school/5cfdd3c2-d443-5151-86c7-ca6ba16cee54-IOS2020,20,80.0,58,100,70.0,59,80.0,100,66,72,0
18,12945,True,False,0.9029255319148937,0.9779179810725552,679.0,1307.0,https://github.com/rolling-scopes-school/c14cc709-1982-56b2-af22-ec32599aaa8c-IOS2020,20,80.0,69,100,70.0,78,80.0,100,82,0,0
18,12822,True,False,0.8837765957446809,0.9747634069400631,664.6,1331.0,https://github.com/rolling-scopes-school/12291b53-21d6-599f-b6f4-ce28614c60c3-IOS2020,20,80.0,35,97,70.0,70,73.60000000000001,100,57,62,0
18,13011,True,False,0.875,0.9716088328075709,658.0,1316.0,https://github.com/rolling-scopes-school/ce911219-899a-5a92-8bbc-f277aa9acc6b-IOS2020,20,80.0,38,100,70.0,54,80.0,100,57,59,0
18,12747,True,False,0.863031914893617,0.9684542586750788,649.0,1309.0,https://github.com/rolling-scopes-school/8c3a2e15-8f9c-5a6f-91be-d3b9833f2bb8-IOS2020,20,80.0,60,100,70.0,84,80.0,100,55,0,0
18,13189,True,False,0.8617021276595744,0.9652996845425867,648.0,1323.0,https://github.com/rolling-scopes-school/8ff477ce-5707-52d2-ac23-e64dc3b993b3-IOS2020,20,80.0,47,100,70.0,76,80.0,100,75,0,0
18,12952,True,False,0.8603723404255319,0.9621451104100947,647.0,1315.0,https://github.com/rolling-scopes-school/5557edf4-247e-579b-aece-ebedd73d1a8a-IOS2020,20,80.0,31,100,70.0,59,80.0,100,43,64,0
18,13168,True,False,0.8590425531914894,0.9589905362776026,646.0,1312.0,https://github.com/rolling-scopes-school/3cc46d20-1e5b-5a7f-a519-964319689cde-IOS2020,20,80.0,55,100,70.0,68,80.0,100,73,0,0
18,13106,True,False,0.851063829787234,0.9558359621451105,640.0,N/A,N/A,20,80.0,65,100,70.0,70,80.0,100,55,0,0
18,13051,True,False,0.8377659574468085,0.9526813880126183,630.0,1323.0,https://github.com/rolling-scopes-school/fed23db6-a085-5fe0-b30d-8927c922a96c-IOS2020,20,80.0,62,100,70.0,57,80.0,100,61,0,0
18,12774,True,False,0.8324468085106383,0.9495268138801262,626.0,N/A,N/A,20,80.0,58,100,70.0,59,80.0,100,59,0,0
18,13218,True,False,0.8162234042553191,0.9463722397476341,613.8,1338.0,https://github.com/rolling-scopes-school/4a2f9345-101e-5501-8882-7be682bbe06d-IOS2020,20,80.0,0,100,70.0,73,60.800000000000004,100,55,55,0
18,13090,True,False,0.8085106382978723,0.943217665615142,608.0,N/A,N/A,20,80.0,45,100,70.0,65,80.0,100,48,0,0
18,13311,True,False,0.8071808510638298,0.9400630914826499,607.0,1314.0,https://github.com/rolling-scopes-school/af82170e-bdd1-57f7-8e28-5ad640008165-IOS2020,20,80.0,27,100,70.0,27,80.0,100,48,55,0
18,12910,True,False,0.8058510638297872,0.9369085173501577,606.0,1323.0,https://github.com/rolling-scopes-school/a9735617-5380-5b92-a7ee-35175e9737cb-IOS2020,20,80.0,31,100,70.0,68,80.0,100,57,0,0
18,12705,True,False,0.7992021276595744,0.9337539432176656,601.0,1337.0,https://github.com/rolling-scopes-school/4fc624be-6370-5ef1-bb25-c87aaded6f84-IOS2020,20,80.0,33,100,70.0,68,80.0,100,50,0,0
18,13367,True,False,0.7952127659574468,0.9305993690851735,598.0,1310.0,https://github.com/rolling-scopes-school/f8059627-0e96-5a0e-a3b2-58267a8f27c7-IOS2020,20,80.0,18,100,70.0,43,80.0,100,30,57,0
18,12905,True,False,0.7925531914893617,0.9242902208201893,596.0,1310.0,https://github.com/rolling-scopes-school/36412e72-df3e-53d1-934d-10a7a81ab764-IOS2020,20,64.0,44,70,70.0,54,80.0,100,45,49,0
18,12990,True,False,0.7925531914893617,0.9242902208201893,596.0,1312.0,https://github.com/rolling-scopes-school/173a6199-9166-5f1d-999c-43a0fe017943-IOS2020,20,80.0,35,97,0.0,68,80.0,100,61,55,0
18,13137,True,False,0.7912234042553191,0.9211356466876972,595.0,N/A,N/A,20,80.0,33,100,70.0,62,80.0,100,50,0,0
18,12742,True,False,0.7845744680851063,0.9148264984227129,590.0,1316.0,https://github.com/rolling-scopes-school/0ed5108b-2bfc-5ef6-9beb-90e7080da106-IOS2020,20,76.0,35,100,70.0,59,80.0,100,50,0,0
18,13517,True,False,0.7845744680851063,0.9148264984227129,590.0,1324.0,https://github.com/rolling-scopes-school/935e40ad-9622-58f9-9475-a5118b41fa09-IOS2020,20,80.0,36,100,70.0,49,80.0,100,55,0,0
18,12855,True,False,0.777127659574468,0.9116719242902208,584.4,1317.0,https://github.com/rolling-scopes-school/cccf3d0d-c1ec-57fe-8fdb-2023ad45e8b6-IOS2020,20,80.0,35,100,70.0,59,70.4,100,50,0,0
