courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_3.0,score_4.0,score_7.0,score_38.0,score_39.0,score_40.0,score_41.0,score_44.0,score_48.0,score_49.0,score_50.0,score_51.0,score_52.0,score_259.0,score_278.0,score_N/A
1,490,True,False,1.0,0.9994579945799458,1589.4,61.0,N/A,83,20.0,140,100,50.0,130,38.4,120,48,0,100,70,450,0,240,0
1,415,True,False,0.9681011702529256,0.9989159891598915,1538.7,85.0,N/A,78,20.0,135,100,50.0,140,32.699999999999996,120,59,0,100,64,300,100,240,0
1,316,True,False,0.9660249150622876,0.9983739837398374,1535.4,111.0,N/A,80,20.0,140,98,47.5,140,24.9,120,43,0,100,64,368,50,240,0
1,149,True,False,0.9484082043538442,0.9978319783197832,1507.4,24.0,N/A,100,18.0,110,97,47.0,130,38.4,70,0,0,100,62,470,50,215,0
1,513,True,False,0.9471498678746697,0.997289972899729,1505.4,117.0,N/A,95,20.0,135,90,50.0,130,38.4,120,38,0,100,64,335,50,240,0
1,345,True,False,0.9458915313954952,0.9967479674796748,1503.4,90.0,N/A,82,20.0,120,100,50.0,135,29.4,120,0,0,100,72,460,0,215,0
1,404,True,False,0.9408581854787971,0.9962059620596206,1495.4,127.0,N/A,76,20.0,140,100,50.0,140,32.4,120,42,0,100,68,277,100,230,0
1,382,True,False,0.9333081666037498,0.9956639566395664,1483.4,122.0,N/A,67,20.0,115,95,50.0,140,20.4,110,36,0,90,68,452,0,220,0
1,300,True,False,0.9326789983641626,0.9951219512195122,1482.4,106.0,N/A,79,19.0,140,100,50.0,140,29.4,120,0,0,100,70,395,0,240,0
1,145,True,False,0.9116018623379892,0.994579945799458,1448.9,78.0,N/A,83,20.0,70,60,37.5,120,32.4,120,37,0,100,58,476,0,235,0
1,84,True,False,0.9029822574556436,0.9940379403794037,1435.2,49.0,N/A,72,20.0,140,97,47.5,138,29.7,120,0,0,100,68,413,0,190,0
1,129,True,False,0.901535170504593,0.9934959349593496,1432.9,36.0,N/A,80,19.0,117,85,48.5,120,32.4,100,0,0,100,68,453,0,210,0
1,320,True,False,0.9014093368566755,0.9929539295392954,1432.7,111.0,N/A,82,20.0,130,70,46.5,130,31.2,120,0,0,100,66,402,0,235,0
1,187,True,False,0.900591418145212,0.9924119241192412,1431.4,83.0,N/A,80,19.0,115,78,46.0,135,32.4,120,0,0,96,60,410,0,240,0
1,60,True,False,0.8996476657858311,0.991869918699187,1429.9,37.0,N/A,78,20.0,137,97,45.0,135,30.9,120,50,0,100,68,320,0,229,0
