courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_498.0,score_501.0,score_503.0,score_N/A
28,15301,UNKNOWN,True,1.0,0.9877551020408163,250.0,N/A,N/A,50,100,100,0
28,15244,UNKNOWN,True,1.0,0.9877551020408163,250.0,N/A,https://github.com/rolling-scopes-school/507459de-f9a4-5b81-8137-168a85b5edde-ANGULAR2020Q3,50,100,100,0
28,15287,UNKNOWN,True,1.0,0.9877551020408163,250.0,N/A,https://github.com/rolling-scopes-school/8c1a3b8f-f211-52fe-882d-fa7635e27498-ANGULAR2020Q3,50,100,100,0
28,14590,UNKNOWN,True,0.96,0.9795918367346939,240.0,N/A,N/A,50,100,90,0
28,15323,UNKNOWN,True,0.96,0.9795918367346939,240.0,N/A,N/A,50,100,90,0
28,14571,UNKNOWN,True,0.94,0.9755102040816327,235.0,N/A,N/A,50,100,85,0
28,15340,UNKNOWN,True,0.9,0.9714285714285714,225.0,N/A,N/A,50,90,85,0
28,14653,UNKNOWN,True,0.88,0.9673469387755103,220.0,1341.0,N/A,50,85,85,0
28,14824,UNKNOWN,True,0.86,0.963265306122449,215.0,1340.0,N/A,50,95,70,0
28,15561,UNKNOWN,True,0.6,0.9551020408163265,150.0,N/A,N/A,50,50,50,0
28,15372,UNKNOWN,True,0.6,0.9551020408163265,150.0,N/A,N/A,50,0,100,0
28,15082,UNKNOWN,True,0.5,0.9510204081632653,125.0,N/A,https://github.com/rolling-scopes-school/0872ab72-5e88-51d7-8ba8-8457b0adafac-ANGULAR2020Q3,40,0,85,0
28,15333,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0
28,15332,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0
28,14529,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0
28,15329,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0
28,15328,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0
28,15327,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0
