courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_371.0,score_372.0,score_393.0,score_396.0,score_N/A
16,11993,True,False,1.0,0.997624703087886,803.0,N/A,N/A,230,0,280,293,0
16,11459,True,False,0.9962640099626401,0.9904988123515439,800.0,N/A,N/A,0,230,270,300,0
16,12022,True,False,0.9962640099626401,0.9904988123515439,800.0,N/A,N/A,0,230,280,290,0
16,11553,True,False,0.9962640099626401,0.9904988123515439,800.0,N/A,N/A,230,0,270,300,0
16,11555,True,False,0.9825653798256538,0.9881235154394299,789.0,N/A,N/A,219,0,270,300,0
16,11443,True,False,0.9813200498132005,0.9857482185273159,788.0,N/A,N/A,0,218,270,300,0
16,11421,True,False,0.9613947696139477,0.9833729216152018,772.0,N/A,N/A,0,192,280,300,0
16,11742,True,False,0.958904109589041,0.9809976247030879,770.0,N/A,N/A,0,210,270,290,0
16,11369,True,False,0.950186799501868,0.9786223277909739,763.0,N/A,N/A,0,223,280,260,0
16,11446,True,False,0.9464508094645081,0.9714964370546318,760.0,N/A,N/A,210,0,280,270,0
16,12015,True,False,0.9464508094645081,0.9714964370546318,760.0,N/A,N/A,0,210,270,280,0
16,11554,True,False,0.9464508094645081,0.9714964370546318,760.0,N/A,N/A,230,0,280,250,0
16,11424,True,False,0.9427148194271482,0.9691211401425178,757.0,N/A,N/A,0,197,270,290,0
16,11352,True,False,0.9302615193026152,0.9667458432304038,747.0,N/A,N/A,0,204,280,263,0
16,11465,True,False,0.8941469489414695,0.9619952494061758,718.0,N/A,N/A,173,0,280,265,0
16,11715,True,False,0.8941469489414695,0.9619952494061758,718.0,N/A,N/A,188,0,280,250,0
16,11565,True,False,0.8841843088418431,0.9596199524940617,710.0,N/A,N/A,0,230,230,250,0
16,11382,True,False,0.863013698630137,0.9572446555819477,693.0,N/A,N/A,0,228,255,210,0
16,11470,True,False,0.8542963885429639,0.9548693586698337,686.0,N/A,N/A,0,228,270,188,0
16,11583,True,False,0.8530510585305106,0.9524940617577197,685.0,N/A,N/A,0,210,270,205,0
16,12132,True,False,0.8505603985056039,0.9477434679334917,683.0,N/A,N/A,0,183,230,270,0
16,11340,True,False,0.8505603985056039,0.9477434679334917,683.0,N/A,N/A,0,203,190,290,0
16,11473,True,False,0.8468244084682441,0.9453681710213777,680.0,N/A,N/A,0,187,240,253,0
16,12107,True,False,0.8430884184308842,0.9429928741092637,677.0,N/A,N/A,222,0,205,250,0
16,11391,True,False,0.8405977584059776,0.9406175771971497,675.0,N/A,N/A,0,207,280,188,0
16,11829,True,False,0.8268991282689913,0.9382422802850356,664.0,N/A,N/A,189,0,230,245,0
