courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_375.0,score_376.0,score_377.0,score_378.0,score_379.0,score_407.0,score_N/A
17,11439,True,False,1.0,0.9928057553956835,716.0,N/A,N/A,50,100,100,270,100,96,0
17,11351,True,False,0.9972067039106145,0.9784172661870504,714.0,N/A,N/A,50,100,100,275,100,89,0
17,11383,True,False,0.9972067039106145,0.9784172661870504,714.0,N/A,N/A,50,100,100,270,100,94,0
17,11463,True,False,0.9958100558659218,0.9640287769784173,713.0,N/A,N/A,50,100,100,270,100,93,0
17,11381,True,False,0.9958100558659218,0.9640287769784173,713.0,N/A,N/A,50,100,100,275,100,88,0
17,11370,True,False,0.9902234636871509,0.9568345323741008,709.0,N/A,N/A,50,100,100,270,100,89,0
17,11544,True,False,0.9776536312849162,0.9496402877697842,700.0,N/A,N/A,50,90,100,275,100,85,0
17,12546,True,False,0.9664804469273743,0.9424460431654677,692.0,N/A,N/A,35,100,100,275,100,82,0
17,11581,True,False,0.9539106145251397,0.935251798561151,683.0,N/A,N/A,50,100,100,275,70,88,0
17,11418,True,False,0.952513966480447,0.9280575539568345,682.0,N/A,N/A,50,100,100,250,90,92,0
17,11380,True,False,0.9385474860335196,0.920863309352518,672.0,N/A,N/A,50,100,100,235,100,87,0
17,11628,True,False,0.9217877094972067,0.9064748201438849,660.0,N/A,N/A,50,100,100,225,100,85,0
17,11469,True,False,0.9217877094972067,0.9064748201438849,660.0,N/A,N/A,50,85,100,270,70,85,0
17,11452,True,False,0.9189944134078212,0.8992805755395683,658.0,N/A,N/A,50,80,90,250,100,88,0
17,11378,True,False,0.9175977653631285,0.8920863309352518,657.0,N/A,N/A,50,100,100,225,100,82,0
17,11899,True,False,0.9162011173184358,0.8776978417266187,656.0,N/A,N/A,50,100,100,225,100,81,0
17,11438,True,False,0.9162011173184358,0.8776978417266187,656.0,N/A,N/A,35,80,90,255,100,96,0
17,11577,True,False,0.9022346368715084,0.8705035971223022,646.0,N/A,N/A,50,70,100,235,100,91,0
17,12059,True,False,0.8938547486033519,0.8633093525179856,640.0,N/A,N/A,50,90,85,235,100,80,0
17,11571,True,False,0.8840782122905028,0.8561151079136691,633.0,N/A,N/A,50,55,100,235,100,93,0
17,12548,True,False,0.8798882681564246,0.8489208633093526,630.0,N/A,N/A,50,55,100,250,90,85,0
17,12429,UNKNOWN,True,0.8659217877094972,0.841726618705036,620.0,N/A,N/A,50,100,100,270,100,0,0
17,11362,True,False,0.861731843575419,0.8345323741007195,617.0,N/A,N/A,50,60,90,235,90,92,0
17,11346,UNKNOWN,True,0.8519553072625698,0.8273381294964028,610.0,N/A,N/A,50,90,100,270,100,0,0
17,11559,True,False,0.8505586592178771,0.8201438848920863,609.0,N/A,N/A,35,85,55,275,80,79,0
17,12027,True,False,0.8449720670391061,0.8129496402877698,605.0,N/A,N/A,50,45,70,255,100,85,0
17,13342,True,False,0.8393854748603352,0.7985611510791367,601.0,N/A,N/A,50,90,100,270,0,91,0
17,11723,True,False,0.8393854748603352,0.7985611510791367,601.0,N/A,N/A,50,55,100,225,90,81,0
17,11429,UNKNOWN,True,0.8379888268156425,0.7913669064748201,600.0,N/A,N/A,50,80,100,270,100,0,0
17,11434,UNKNOWN,True,0.8240223463687151,0.7841726618705036,590.0,N/A,N/A,50,90,100,250,100,0,0
17,12557,UNKNOWN,True,0.803072625698324,0.7769784172661871,575.0,N/A,N/A,50,90,100,235,100,0,0
17,11722,True,False,0.7681564245810056,0.7697841726618705,550.0,N/A,N/A,35,100,70,270,75,0,0
17,11637,True,False,0.7513966480446927,0.762589928057554,538.0,N/A,N/A,35,60,100,255,0,88,0
17,11548,True,False,0.7332402234636871,0.7553956834532374,525.0,N/A,N/A,50,45,70,225,60,75,0
17,11705,UNKNOWN,True,0.5865921787709497,0.7482014388489209,420.0,N/A,N/A,35,60,100,225,0,0,0
17,11810,False,False,0.5460893854748603,0.7410071942446043,391.0,N/A,N/A,40,60,100,0,100,91,0
17,11564,UNKNOWN,True,0.5167597765363129,0.7338129496402878,370.0,N/A,N/A,50,50,0,270,0,0,0
17,11927,False,False,0.48044692737430167,0.7266187050359713,344.0,N/A,N/A,0,0,0,250,0,94,0
17,12633,False,False,0.46089385474860334,0.7194244604316546,330.0,N/A,N/A,50,90,100,0,0,90,0
17,11407,False,False,0.45391061452513964,0.7122302158273381,325.0,N/A,N/A,50,75,100,0,100,0,0
17,11406,UNKNOWN,True,0.44692737430167595,0.7050359712230215,320.0,N/A,N/A,35,85,100,0,100,0,0
17,11641,False,False,0.4134078212290503,0.697841726618705,296.0,N/A,N/A,0,60,85,0,60,91,0
17,13323,False,False,0.3994413407821229,0.6906474820143885,286.0,N/A,N/A,50,100,60,0,0,76,0
17,11600,False,False,0.33519553072625696,0.6834532374100719,240.0,N/A,N/A,50,90,100,0,0,0,0
17,11508,False,False,0.32821229050279327,0.6762589928057554,235.0,N/A,N/A,35,100,100,0,0,0,0
17,11707,UNKNOWN,True,0.32122905027932963,0.6690647482014388,230.0,N/A,N/A,50,80,100,0,0,0,0
17,12554,False,False,0.30726256983240224,0.6618705035971223,220.0,N/A,N/A,50,90,80,0,0,0,0
17,11730,False,False,0.23743016759776536,0.6546762589928058,170.0,N/A,N/A,50,90,30,0,0,0,0
17,12367,False,False,0.23044692737430167,0.6474820143884892,165.0,N/A,N/A,50,75,40,0,0,0,0
17,12000,False,False,0.2164804469273743,0.6402877697841727,155.0,N/A,N/A,50,35,70,0,0,0,0
17,13363,False,False,0.20949720670391062,0.6330935251798561,150.0,N/A,N/A,35,65,50,0,0,0,0
17,11823,False,False,0.18156424581005587,0.6187050359712231,130.0,N/A,N/A,50,80,0,0,0,0,0
17,11599,False,False,0.18156424581005587,0.6187050359712231,130.0,N/A,N/A,50,80,0,0,0,0,0
17,13420,False,False,0.15363128491620112,0.60431654676259,110.0,N/A,N/A,50,60,0,0,0,0,0
17,11404,UNKNOWN,True,0.15363128491620112,0.60431654676259,110.0,N/A,N/A,50,60,0,0,0,0,0
17,11714,False,False,0.14664804469273743,0.5899280575539568,105.0,N/A,N/A,50,20,35,0,0,0,0
17,11480,False,False,0.14664804469273743,0.5899280575539568,105.0,N/A,N/A,40,65,0,0,0,0,0
17,11368,UNKNOWN,True,0.13268156424581007,0.5827338129496403,95.0,N/A,N/A,50,45,0,0,0,0,0
17,12065,False,False,0.12569832402234637,0.5683453237410072,90.0,N/A,N/A,35,55,0,0,0,0,0
17,11808,False,False,0.12569832402234637,0.5683453237410072,90.0,N/A,N/A,35,55,0,0,0,0,0
17,11414,UNKNOWN,True,0.11871508379888268,0.5611510791366906,85.0,N/A,N/A,35,50,0,0,0,0,0
17,12592,False,False,0.10474860335195531,0.5539568345323741,75.0,N/A,N/A,50,25,0,0,0,0,0
17,11718,False,False,0.06983240223463687,0.460431654676259,50.0,N/A,N/A,50,0,0,0,0,0,0
17,12697,False,False,0.06983240223463687,0.460431654676259,50.0,N/A,N/A,50,0,0,0,0,0,0
17,11837,False,False,0.06983240223463687,0.460431654676259,50.0,N/A,N/A,50,0,0,0,0,0,0
17,11801,False,False,0.06983240223463687,0.460431654676259,50.0,N/A,N/A,50,0,0,0,0,0,0
17,11649,False,False,0.06983240223463687,0.460431654676259,50.0,N/A,N/A,50,0,0,0,0,0,0
17,12365,False,False,0.06983240223463687,0.460431654676259,50.0,N/A,N/A,50,0,0,0,0,0,0
17,11344,False,False,0.06983240223463687,0.460431654676259,50.0,N/A,N/A,50,0,0,0,0,0,0
