courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_300.0,score_301.0,score_302.0,score_303.0,score_304.0,score_305.0,score_306.0,score_307.0,score_308.0,score_309.0,score_310.0,score_313.0,score_315.0,score_316.0,score_318.0,score_319.0,score_320.0,score_321.0,score_325.0,score_327.0,score_328.0,score_331.0,score_332.0,score_336.0,score_337.0,score_342.0,score_343.0,score_344.0,score_345.0,score_347.0,score_349.0,score_350.0,score_353.0,score_354.0,score_356.0,score_367.0,score_N/A
11,8543,True,False,1.0000054504823677,0.9996797950688441,1834.71,784.0,https://github.com/rolling-scopes-school/7f0bbd49-76ca-59b8-9bc6-250d147152cb-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.37,0.34,4.0,0.5,30.0,30.0,41.0,40,100,100,110,120,120,100,0,10,103,100,8,329,196.0,100,0,61.5,100,0
11,5761,True,False,0.9808361039952035,0.9993595901376882,1799.54,948.0,https://github.com/rolling-scopes-school/146039c8-36e2-5aa4-9cac-15a59bec4e97-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.37,0.42,4.3500000000000005,1.0,29.4,30.0,43.5,50,100,100,107,120,119,100,0,8,128,100,7,366,196.0,97,0,61.5,0,0
11,6721,True,False,0.9731563743391289,0.9990393852065321,1785.4499999999998,954.0,https://github.com/rolling-scopes-school/14aeeb75-e8d0-5fed-b06f-d2e518013d86-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.26,0.39,3.7,1.0,30.0,30.0,34.5,50,90,95,105,120,120,100,0,9,128,100,5,324,180.6,93,0,60.0,75,0
11,5941,True,False,0.972017223524282,0.9987191802753762,1783.3600000000001,744.0,https://github.com/rolling-scopes-school/f9f18474-dbdc-5fbb-810a-8f1e450205b5-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.39,0.42,4.75,1.0,9.299999999999999,30.0,47.5,50,95,100,110,120,120,98,0,8,87,98,6,308,196.0,100,0,63.0,100,0
11,6235,True,False,0.965852727966425,0.9983989753442203,1772.05,637.0,https://github.com/rolling-scopes-school/ced68df3-8454-5032-86f6-62b5ce8610f6-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.41000000000000003,0.44,5.0,1.0,30.0,30.0,47.0,50,100,100,110,120,120,100,0,10,107,100,8,272,192.5,100,0,62.699999999999996,75,0
11,5860,True,False,0.947451899493105,0.9980787704130644,1738.29,697.0,https://github.com/rolling-scopes-school/3487858d-17eb-5d26-a064-2061460c4138-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.41000000000000003,0.43,4.45,1.0,30.0,30.0,42.5,50,100,100,110,120,120,95,0,10,128,100,7,307,196.0,97,0,58.5,0,0
11,7101,True,False,0.9390963100234371,0.9977585654819084,1722.96,635.0,https://github.com/rolling-scopes-school/e2bcc371-37cf-54be-b528-42c16df87980-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.41000000000000003,0.4,4.45,1.0,25.5,30.0,45.5,50,90,100,110,120,120,90,0,10,108,100,8,280,196.0,93,50,59.699999999999996,0,0
11,6002,True,False,0.9351719627187006,0.9974383605507525,1715.76,666.0,https://github.com/rolling-scopes-school/331d68e1-4720-51b4-9d19-040c37fc24f9-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.41000000000000003,0.45,4.4,1.0,0.0,0.0,49.0,50,99,100,109,120,120,100,0,10,108,100,8,350,196.0,98,0,61.5,0,0
11,7022,True,False,0.9304681964353846,0.9971181556195965,1707.13,632.0,https://github.com/rolling-scopes-school/0b0f7b09-195a-5441-af8d-994b572b6624-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.41000000000000003,0.37,4.8500000000000005,0.5,30.0,30.0,46.0,50,100,100,110,120,120,100,0,9,108,97,8,290,196.0,96,0,60.0,0,0
11,6043,True,False,0.9247451899493105,0.9967979506884406,1696.63,943.0,https://github.com/rolling-scopes-school/3edc8e74-02d2-544e-afbb-0788cc3b8faf-RS2019Q3,1,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,0.41000000000000003,0.42,4.4,1.0,30.0,30.0,42.5,50,100,100,110,100,120,100,0,10,108,100,8,399,192.5,0,0,59.4,0,0
