courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_385.0,score_414.0,score_427.0,score_431.0,score_439.0,score_448.0,score_466.0,score_494.0,score_510.0,score_513.0,score_565.0,score_659.0,score_N/A
19,13761,True,False,1.0,0.9974226804123711,10440.0,1276.0,https://github.com/rolling-scopes-school/7000ce42-2de5-5d45-9524-5bc0e052cd48-ANDROID2020,100,1000,475,1000,420,1500,800,950,900,1450,1000,845,0
19,12845,True,False,0.9832375478927203,0.9948453608247423,10265.0,1269.0,https://github.com/rolling-scopes-school/1a28c752-97d7-5aa1-8048-a35162969508-ANDROID2020,100,1000,500,1000,500,1500,700,900,900,1250,1000,915,0
19,12913,True,False,0.9372605363984674,0.9922680412371134,9785.0,1290.0,https://github.com/rolling-scopes-school/dd7cefbb-96f2-5b7b-8bbe-5708740a3d2e-ANDROID2020,100,1000,485,1000,430,1500,550,1000,1000,1500,500,720,0
19,12981,True,False,0.9367816091954023,0.9896907216494846,9780.0,1225.0,https://github.com/rolling-scopes-school/939ba5bf-b3c0-5442-a170-9e80e2b3a432-ANDROID2020,100,1000,430,1000,475,1500,800,1000,900,1500,500,575,0
19,12754,True,False,0.9123563218390804,0.9871134020618557,9525.0,1279.0,https://github.com/rolling-scopes-school/8f104777-1a36-5f72-aa70-aa2149d91ea7-ANDROID2020,100,1000,495,1000,480,1500,650,1000,850,1500,0,950,0
19,13083,True,False,0.9022988505747126,0.9845360824742269,9420.0,1283.0,https://github.com/rolling-scopes-school/381e72b4-89bd-534b-b83c-1ccf916fff41-ANDROID2020,100,1000,450,1000,430,1500,600,870,750,1420,500,800,0
19,12973,True,False,0.8984674329501916,0.9819587628865979,9380.0,1269.0,https://github.com/rolling-scopes-school/7e0aa1e3-75f1-508c-a821-6cfeb98993c2-ANDROID2020,100,1000,485,1000,435,1500,650,900,850,1300,500,660,0
19,12762,True,False,0.8922413793103449,0.979381443298969,9315.0,N/A,https://github.com/rolling-scopes-school/c081789a-f9cd-5827-ab6c-5fafc5f60c63-ANDROID2020,100,1000,495,1000,470,1500,650,850,900,1400,0,950,0
19,12920,True,False,0.8874521072796935,0.9768041237113402,9265.0,1269.0,https://github.com/rolling-scopes-school/506ac7a7-5e90-55e2-9e49-03c0a6c7788b-ANDROID2020,100,1000,355,1000,465,1500,800,850,870,1250,500,575,0
19,13116,True,False,0.8424329501915708,0.9742268041237113,8795.0,1305.0,https://github.com/rolling-scopes-school/98620215-c2a2-5478-a8ee-8737c1c885dd-ANDROID2020,50,950,465,1000,410,1365,600,900,870,1500,0,685,0
19,12873,True,False,0.8237547892720306,0.9716494845360825,8600.0,1283.0,https://github.com/rolling-scopes-school/858f6f68-741a-5c07-b2d7-234be733211c-ANDROID2020,100,1000,435,1000,395,1365,600,840,870,970,500,525,0
19,12731,True,False,0.8132183908045977,0.9690721649484536,8490.0,1304.0,https://github.com/rolling-scopes-school/74bacb68-eb60-500c-a4a9-828b3e498baf-ANDROID2020,100,1000,375,1000,425,1500,450,850,750,1000,500,540,0
19,12909,True,False,0.8113026819923371,0.9664948453608248,8470.0,1294.0,https://github.com/rolling-scopes-school/5d3a3764-decd-5881-b3fe-21c5ffbc1080-ANDROID2020,100,1000,460,1000,410,1500,500,950,900,500,500,650,0
19,12875,True,False,0.8050766283524904,0.9639175257731959,8405.0,1330.0,https://github.com/rolling-scopes-school/77b50faa-6550-5f29-aa88-b92e7fc8b27e-ANDROID2020,100,1000,435,1000,315,855,850,800,900,1150,500,500,0
19,12782,True,False,0.7983716475095786,0.961340206185567,8335.0,1289.0,https://github.com/rolling-scopes-school/0672eb09-adaa-5b99-916c-235b4231793c-ANDROID2020,100,1000,470,1000,455,1500,600,700,760,1000,0,750,0
