courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_222.0,score_223.0,score_224.0,score_225.0,score_226.0,score_227.0,score_N/A
6,4785,True,False,1.0,0.9761904761904762,471.0,469.0,N/A,89,88,97,32,100,65,0
6,4772,True,False,0.9532908704883227,0.9523809523809523,449.0,467.0,N/A,90,90,90,29,100,50,0
6,4771,True,False,0.9469214437367304,0.9047619047619048,446.0,467.0,N/A,70,85,90,16,90,95,0
6,4778,True,False,0.9469214437367304,0.9047619047619048,446.0,468.0,N/A,115,0,95,26,120,90,0
6,4788,True,False,0.9023354564755839,0.8809523809523809,425.0,469.0,N/A,69,88,92,21,90,65,0
6,4792,True,False,0.8747346072186837,0.8571428571428571,412.0,470.0,N/A,95,0,95,27,100,95,0
6,4790,True,False,0.8704883227176221,0.8333333333333334,410.0,470.0,N/A,85,0,100,25,100,100,0
6,4784,True,False,0.8683651804670913,0.7857142857142857,409.0,469.0,N/A,68,91,80,25,60,85,0
6,4773,True,False,0.8683651804670913,0.7857142857142857,409.0,467.0,N/A,75,65,70,24,100,75,0
6,4777,False,False,0.8195329087048833,0.7619047619047619,386.0,467.0,N/A,70,70,85,21,70,70,0
6,4774,False,False,0.7707006369426752,0.7380952380952381,363.0,467.0,N/A,65,75,75,23,60,65,0
6,4775,False,False,0.7685774946921444,0.7142857142857143,362.0,467.0,N/A,45,70,70,27,100,50,0
6,4780,False,False,0.7600849256900213,0.6904761904761905,358.0,468.0,N/A,82,0,94,22,80,80,0
6,4783,False,False,0.7558386411889597,0.6666666666666666,356.0,468.0,N/A,74,0,90,27,100,65,0
6,4794,False,False,0.7430997876857749,0.6428571428571429,350.0,470.0,N/A,90,0,50,25,100,85,0
6,4791,False,False,0.7261146496815286,0.6190476190476191,342.0,470.0,N/A,70,0,80,32,100,60,0
6,4781,False,False,0.6772823779193206,0.5952380952380952,319.0,468.0,N/A,97,0,82,30,60,50,0
6,4782,False,False,0.673036093418259,0.5714285714285714,317.0,468.0,N/A,67,0,88,12,70,80,0
6,4787,False,False,0.6178343949044586,0.5476190476190477,291.0,469.0,N/A,74,0,0,27,100,90,0
6,4793,False,False,0.6114649681528662,0.5238095238095238,288.0,470.0,N/A,60,0,55,23,70,80,0
6,4789,False,False,0.49469214437367304,0.5,233.0,469.0,N/A,74,0,0,24,60,75,0
6,4796,False,False,0.4416135881104034,0.47619047619047616,208.0,470.0,N/A,65,0,30,23,90,0,0
6,4797,False,False,0.39065817409766457,0.4523809523809524,184.0,N/A,N/A,58,0,0,26,100,0,0
6,4806,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4808,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4805,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4807,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4811,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4809,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4803,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4810,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4804,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4795,UNKNOWN,True,0.0,0.0,0.0,470.0,N/A,0,0,0,0,0,0,0
6,4802,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4801,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4800,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4799,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4798,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
6,4776,UNKNOWN,True,0.0,0.0,0.0,467.0,N/A,0,0,0,0,0,0,0
6,4786,UNKNOWN,True,0.0,0.0,0.0,469.0,N/A,0,0,0,0,0,0,0
6,4779,UNKNOWN,True,0.0,0.0,0.0,468.0,N/A,0,0,0,0,0,0,0
6,4812,False,False,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0
